,Date,State,Dead,Injured,Total,Description,Month,Year,WeekDay,WeekOfYear,YearWeek
0,2018-01-01,Alabama,1,3,4,A 21-year-old was killed and three others were wounded shortly after midnight at a New Year's Eve party.,1,2018,0,1,2018 - 1
1,2019-01-01,Florida,0,5,5,Five people were shot and wounded around 3am local time at the University Village Shopping Center.,1,2019,1,1,2019 - 1
2,2019-01-01,South Carolina,0,5,5,Five people were shot and wounded outside of a nightclub around 6am local time.,1,2019,1,1,2019 - 1
3,2020-01-01,Puerto Rico,4,1,5,"A family of four, including nine-year-old twin boys, were shot and killed at their home after celebrating New Year's Eve. A 16-year-old boy was seriously injured.",1,2020,2,1,2020 - 1
4,2020-01-01,West Virginia,0,7,7,"Seven people were wounded inside and out a hookah bar early in the morning, after an argument escalated.",1,2020,2,1,2020 - 1
5,2020-01-01,Ohio,0,4,4,An argument in a Downtown Cleveland night club's VIP section led to three people being wounded and a fourth person was shot in the head in the back alley.,1,2020,2,1,2020 - 1
6,2020-01-01,Missouri,3,1,4,Responding police discovered three people dead and one wounded at an early morning shooting in the Benton Park neighborhood.,1,2020,2,1,2020 - 1
7,2021-01-01,Arkansas,0,7,7,Seven people were wounded in an early morning shooting at an event center hosting a New Year's party after two men in a disagreement shot at each other.,1,2021,4,53,2021 - 53
8,2021-01-01,Illinois,0,4,4,Four people were wounded in an early morning shooting while at home. Police believe the shooting was targeted.,1,2021,4,53,2021 - 53
9,2021-01-01,Iowa,1,4,5,"A woman was killed and four others injured after a shooting occurred at a house party. Multiple guns fired into the house, and attendees fled and drove themselves to different hospitals.",1,2021,4,53,2021 - 53
10,2021-01-01,Texas,1,3,4,A man was killed and three others injured in an early morning shooting at a shopping center.,1,2021,4,53,2021 - 53
11,2019-01-02,California,0,4,4,A fight broke out at a house party and shots were fired; four people were wounded.,1,2019,2,1,2019 - 1
12,2020-01-02,Louisiana,4,0,4,A shooter shot and killed two members of a family and a friend of one of them inside a house. A third fled through a window uninjured and alerted the authorities. The shooter then committed suicide.,1,2020,3,1,2020 - 1
13,2020-01-02,Mississippi,0,4,4,"Police responded to a street location where multiple shots were fired. They found four victims, aged 18–45 years old, with bullet wounds. Three of the victims were transported by helicopter to a hospital. It is unknown what their conditions are. Police are trying to locate any suspects in the shooting.",1,2020,3,1,2020 - 1
14,2021-01-02,New York,1,3,4,A man was killed and a woman and two men injured in the early morning.,1,2021,5,53,2021 - 53
15,2018-01-04,Michigan,0,5,5,Five people were injured in a shooting at a house party.,1,2018,3,1,2018 - 1
16,2018-01-04,Alabama,1,4,5,A fifteen-year-old was killed and four other people were wounded in a shooting at a spring break party.,1,2018,3,1,2018 - 1
17,2018-01-05,Louisiana,0,5,5,Five people were injured in a shooting.,1,2018,4,1,2018 - 1
18,2019-01-05,Massachusetts,1,3,4,One person was killed and three were wounded while sitting in a parked car in Boston's Dorchester neighborhood.,1,2019,5,1,2019 - 1
19,2021-01-05,Louisiana,2,4,6,Two people were killed and four more were injured in a shooting.,1,2021,1,1,2021 - 1
20,2021-01-05,New York,1,4,5,A shooting left at least one dead and four more injured at an outdoor gathering.,1,2021,1,1,2021 - 1
21,2021-01-05,Wisconsin,3,1,4,"At a casino on Oneida land, a man shot and killed 2 people, and seriously wounded another, before being shot dead by responding police officers.",1,2021,1,1,2021 - 1
22,2021-01-05,Massachusetts,0,5,5,Five people were shot outside the Clubhouse Lounge.,1,2021,1,1,2021 - 1
23,2021-01-05,Florida,1,3,4,A shooting left one person dead and three injured at the Brown Sugar Festival.,1,2021,1,1,2021 - 1
24,2021-01-05,Georgia,1,3,4,A teenage girl and three others were wounded in a shooting.,1,2021,1,1,2021 - 1
25,2021-01-05,Delaware,0,4,4,Two men and two women were shot and injured.,1,2021,1,1,2021 - 1
26,2019-01-06,Virginia,1,3,4,One person was killed and three were critically injured in an overnight shooting.,1,2019,6,1,2019 - 1
